Data,Label,,,,,,,,,,,,,,,,,,,,,,,,
"রাষ্ট্রের সর্বোচ্চ আইন আমাদের সংবিধানে ২৭, ২৮ নম্বরে বলা হয়েছে রাষ্ট্র ও জনজীবনের সর্বস্তরে নারী পুরুষ সমান অধিকার লাভ করবেন",0,,,,,,,,,,,,,,,,,,,,,,,,
"এই জিনিসটা কখনো আশা করি নাই আপু আপনার কাছ থেকে৷ ,সব নায়িকাদের সাইতে আপনাকে একটু অন্য চোখে দেখ,, আপনাকে পর্দাশীল নারী হিসেবে ভালবাসতাম আপু",2,,,,,,,,,,,,,,,,,,,,,,,,
সেকালে ইউরোপ তথা বিশ্বের অল্প কয়েকটি দেশই এমন সড়ক তৈরি করতে পেরেছিল।,0,,,,,,,,,,,,,,,,,,,,,,,,
"তিনি বাগানের মাঝ দিয়ে প্রবাহিত করলেন এক নদী, যা আবার চার ভাগে ভাগ হলো।",0,,,,,,,,,,,,,,,,,,,,,,,,
"শুধু সুন্দর না, অসম্ভব সুন্দর।",0,,,,,,,,,,,,,,,,,,,,,,,,
মানসিক উন্নতির জন্য নিজের মা বাবাকে সময় দেন কথা বলেন,0,,,,,,,,,,,,,,,,,,,,,,,,
একজন প্রাপ্তবয়স্ক পুরুষের জীবনে স্ত্রীর ভূমিকা এক কথায় বলে শেষ করার মতো নয়।,1,,,,,,,,,,,,,,,,,,,,,,,,
একজন নারী পুরুষের পাশাপাশি যুদ্ধের ময়দানের সমান তালে যুদ্ধ করে থাকেন।,1,,,,,,,,,,,,,,,,,,,,,,,,
ভার্সিটির অধিকাংশ মেয়ে নারীবাদী ও চরিত্রহীন।বিয়ে করার সময় সবার আগে ভার্সিটির মেয়েদের বাদ দিতে হবে,2,,,,,,,,,,,,,,,,,,,,,,,,
লম্বায় ছিল ৮ মিটার এবং প্রস্থে ২.১ মিটার।,0,,,,,,,,,,,,,,,,,,,,,,,,
এরকম করলে তো মেয়ে শশুড়বাড়িতে ভাত পাবা নাহ।,2,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়ে পুরা শরীর দেখায় চলতেছে, পোলারা তো ঝাপায় পড়বেই।",2,,,,,,,,,,,,,,,,,,,,,,,,
"সংবিধানে এ ধরনের অঙ্গীকার আরো আছে, যা নারী-পুরুষ সমতার মূলমন্ত্রকে সামনে নিয়ে আসে",0,,,,,,,,,,,,,,,,,,,,,,,,
এই পর্যন্ত আমেরিকার ৬টি বডি ফার্মে হাজার হাজার মৃতদেহ গবেষক ও নৃবিজ্ঞানীদের গবেষণার বস্তু হয়েছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
আপনাদের এই উদ্যোগ আগামী দিন গুলোর জন্যে মানুষের জীবনে সাফল্য বয়ে আনুক।,0,,,,,,,,,,,,,,,,,,,,,,,,
আপনার বাবা আপনার মাকে প্রতি রাতে দোচার জন্য কত টাকা পরিশোধ করেছে ?,2,,,,,,,,,,,,,,,,,,,,,,,,
রাজ্য সরকার তো এবার রাজ্যের সমস্ত মহিলা কলেজে স্যানিটারি ভেন্ডিং মেশিন বসাতে চলেছে৷,1,,,,,,,,,,,,,,,,,,,,,,,,
নারীরা একদিকে যেমন সংসার সামলেছেন তেমনি শিক্ষা ও দক্ষতা দিয়ে বাংলাদেশের বিভিন্ন ক্ষেত্রে অবদান রেখেছেন।,1,,,,,,,,,,,,,,,,,,,,,,,,
"হেতে কি তাহলে মেয়েকে প্রস্টিটিউট বানানোর জন্য বড় করেছেন?? কারণ, প্রস্টিটিউটরা কারো স্ত্রী হয় না।",2,,,,,,,,,,,,,,,,,,,,,,,,
রেফারেন্স দেন! নির্ভরযোগ্য রেফারেন্স দিবেন,0,,,,,,,,,,,,,,,,,,,,,,,,
"যার যা প্রাপ্য, তা তাকে দিতে হবে।",0,,,,,,,,,,,,,,,,,,,,,,,,
"তর অনাবাদি জমি গুলো তো অনেক আগেই আবাদ করা হয়েছে,তারপরও এগুলো দেখানোর দরকার কি??
অসভ্য মেয়ে",2,,,,,,,,,,,,,,,,,,,,,,,,
নারীদের স্থান জাহান্নামই হবে না! কারণ তাদের ছোয়াতে জাহান্নামও অপবিত্র হয়ে যাবে।,2,,,,,,,,,,,,,,,,,,,,,,,,
প্রায়ই ছোটোখাটো দোকান চালাতে দেখা যায় নারীদের,1,,,,,,,,,,,,,,,,,,,,,,,,
তার মতো বাংলাদেশে এ ধরনের লক্ষ-লক্ষ তরুণ প্রতি বছর চাকরির বাজারে আসছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
বিয়ের পর নারী হয়ে পড়েন কোনো বিশেষ ব্যক্তির গচ্ছিত আমানত। আর এই আমানতের ফলস্বরূপ নারী কিন্তু তার সবটাকে বিসর্জন দেওয়ার চেষ্টা করলেও পুরুষ সেক্ষেত্রে নির্বিকার।,1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েরা ভাব দেখাইতে বেশি পছন্দ করে।,2,,,,,,,,,,,,,,,,,,,,,,,,
যৌতুক প্রথার বিরুদ্ধে লড়াইয়ে সফলতা আসছে না৷ সামাজিক এই ব্যাধি ছড়িয়ে পড়েছে রন্ধ্রে রন্ধ্রে৷,1,,,,,,,,,,,,,,,,,,,,,,,,
"তিনি বলেন, আলাদাভাবে মাদক নিয়ন্ত্রণ অধিদপ্তর থাকলেও সেটি নিষ্ক্রিয়।",0,,,,,,,,,,,,,,,,,,,,,,,,
বিয়ের পর স্বামী-সন্তানসহ বহু বছর ছিলেন বিদেশে।,0,,,,,,,,,,,,,,,,,,,,,,,,
"সেখানে একরাত থাকার পর, আমরা আপত্তি জানাই।",0,,,,,,,,,,,,,,,,,,,,,,,,
অনেকদিন পর একটা পাল্তু মেয়ে দেখলাম!,2,,,,,,,,,,,,,,,,,,,,,,,,
"আপনার ক্ষুধাবোধ হতেই পারে, আপনি জানতে চাইতেই পারেন যে, অন্যসময়ে কি আপনি খেতে পারবেন না?",0,,,,,,,,,,,,,,,,,,,,,,,,
তার মানে এই নয় কর্মক্ষেত্রে নারীদের যৌন হয়রানি হচ্ছে না,1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েদের  খেলা দেখা পাপ।,2,,,,,,,,,,,,,,,,,,,,,,,,
অন্য জেলায় বিয়ে করেন।সমস্যা সমাধান,0,,,,,,,,,,,,,,,,,,,,,,,,
মার্কেট না চললে! চরিত্র হীনরা একদিন এভাবেই তোর মতো গোড়া খুলে দেয়,2,,,,,,,,,,,,,,,,,,,,,,,,
নিজের ওপর ভরসা রেখে একবার গভীরভাবে ভাবুন সুযোগটি নিয়ে।,0,,,,,,,,,,,,,,,,,,,,,,,,
আর কোনো নারী বা শিশু যেন নির্যাতন কিংবা ধর্ষণের শিকার না হয়,1,,,,,,,,,,,,,,,,,,,,,,,,
 যৌন নির্যাতনের মত স্পর্শকাতর ঘটনা রোধে প্রাথমিক পর্যায়ে নারী রাইডারের প্যাসেঞ্জার নারীই হোক ,1,,,,,,,,,,,,,,,,,,,,,,,,
মাইয়া গুলা হোস্টেলে থেকে নষ্টামি ছারা আর কি শিখে?,2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়ে হইসো সো তোমার বাচ্চা তোমাকেই পালতে হবে সাথে সংসারও,2,,,,,,,,,,,,,,,,,,,,,,,,
কিন্তু এদিক থেকে আরিজোনা বার্ক স্করপিয়ন খুবই বিষাক্ত একটি প্রাণী।,0,,,,,,,,,,,,,,,,,,,,,,,,
"শ্রেণি, অর্থনৈতিক ও সাংস্কৃতিক বৈষম্যের কারণে নারীরা আজও রাজনৈতিক ক্ষমতা ও নীতিনির্ধারণ থেকে অনেক দূরে।",1,,,,,,,,,,,,,,,,,,,,,,,,
"নারী ব্যতীত পরিবার, সমাজ ও সভ্যতার বিকাশ কল্পনা করা যায় না।",1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েদের সিগারেট খাওয়া পতিতার অন্যতম লক্ষণ।,2,,,,,,,,,,,,,,,,,,,,,,,,
"যতই বড়ই অফিসার হও , বিয়ের পর তো রান্না করতেই হবে।",2,,,,,,,,,,,,,,,,,,,,,,,,
মানসিক ব্যাধিগুলোয় নারীদের ঝুঁকির কারণগুলোর মধ্যে রয়েছে জেন্ডার ইস্যু।,1,,,,,,,,,,,,,,,,,,,,,,,,
চাকরিজীবী মেয়ের নোংরামি আর ওদের সংসারের প্রতি অনিহার কারণ হলো জব সেক্টরে প্রতি ১০০ জনের মধ্যে ৯৮ জন চাকুরীজীবি মেয়ে ডিভোর্স হয়ে যায়।,2,,,,,,,,,,,,,,,,,,,,,,,,
বিয়া কইরা জীবন তেজপাতা। আগে যদি জানতাম তাহলে বিয়েই করতাম না,0,,,,,,,,,,,,,,,,,,,,,,,,
" নারীদের মানসিক স্বাস্থ্য বিকাশ এবং তাদের নিরাপত্তা নিশ্চিত করার পাশাপাশি কন্যা ও নারীদের বিরুদ্ধে কটূক্তি, বৈষম্য ও সহিংসতা প্রতিরোধ করতে হবে। ",1,,,,,,,,,,,,,,,,,,,,,,,,
প্রথম কয়েকমাস একটি মিশরীয় ব্যাংকে চাকুরী করেছিলাম।,0,,,,,,,,,,,,,,,,,,,,,,,,
"কিন্তু উহান নগরীতে উবেই প্রদেশের আরও বিভিন্ন জায়গায় কিছু বাংলাদেশি ছাত্র রয়ে গিয়েছিল, যারা তখন আসতে চায় নি।",0,,,,,,,,,,,,,,,,,,,,,,,,
"বউ তো হিল পড়ে লম্বা হইছে, এম্নে তো বাইট্টা।",2,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়েরা আলোচনায় আসার জন্য জামা কাপড় শর্ট করে ফেলবে,আর ধর্ষন হইলে আবার বিচার চাহিবে। নস্ট কোথাকার।
",2,,,,,,,,,,,,,,,,,,,,,,,,
ফুটবল ক্রিকেটে সাফল্যের বিচারে এগিয়ে থাকলেও আর্থিক সুবিধায় পিছিয়ে নারীরা।,2,,,,,,,,,,,,,,,,,,,,,,,,
এর আগে আমি কখনই শ্বাসকষ্টে ভুগিনি।,0,,,,,,,,,,,,,,,,,,,,,,,,
একটা মেয়ের যৌবন যেখানে ৩০ এর মধ্যেই শেষ সেখানে ছেলেদের পরিপূর্ণ যৌবন ৩০ এর দিকেই শুরু হয়।,2,,,,,,,,,,,,,,,,,,,,,,,,
স্বর্গ বেশি দূরে না  বরং খুব কাছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
শচীন টেন্ডুলকারকে বিশ্ববিখ্যাত ক্রিকেটার হিসেবে তৈরি করার পেছনে তার বড় ভাই অজিতের যথেষ্ট অবদান রয়েছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
একজন নারীকে বিভিন্নভাবে নির্যাতন বা বৈষম্যের শিকার হতে হয়,1,,,,,,,,,,,,,,,,,,,,,,,,
আইটি শিক্ষা নারীদের সঠিক চাকরি এবং তাদের অর্থনৈতিক অধিকারের জন্য লড়াই করার আত্মবিশ্বাস দিতে সাহায্য করে।,1,,,,,,,,,,,,,,,,,,,,,,,,
"তা যদি হয়, তাহলে তাঁদের অধিকার তো আছেই।",0,,,,,,,,,,,,,,,,,,,,,,,,
কাজের জন্য নারীরা বিদেশে যাচ্ছে,1,,,,,,,,,,,,,,,,,,,,,,,,
স্ত্রীদের যথেষ্ট পরিমাণে সময় দিলে অথবা বিশ্বাস করলে  সংসার আর যুদ্ধক্ষেত্র মনে হবে না । ,1,,,,,,,,,,,,,,,,,,,,,,,,
‌লেংটা থাক‌লে আ‌রো ভালা হয়।,2,,,,,,,,,,,,,,,,,,,,,,,,
লেখাপড়া শেষে নারী-পুরুষ উভয়ই চাকরির জন্য প্রতিযোগীতায় বসছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
কিছু খেলাধুলা পরিচিতি পেয়েছে আন্তর্জাতিকভাবে এবং পরিণত হয়েছে প্রচলিত মূলধারার খেলায়।,0,,,,,,,,,,,,,,,,,,,,,,,,
তবে মৃতদেহের গন্ধ চারিদিকে ছড়িয়ে পড়তো বলে নানা রকম শবভূক প্রাণির আগমনও ঘটতো।,0,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়েদের পড়ালেখা দরকার যাতে তার ছেলে-মেয়েকে পড়াতে পারে আর শিক্ষিত করতে পারে এবং সংসারে হিসাব-কিতাব বা অন্য কাজে স্বামীকে সহায়তা করতে পারে, নিজে প্রতিষ্ঠিত হবার জন্য নয়।",2,,,,,,,,,,,,,,,,,,,,,,,,
বেডি মা্নুষের আবার মতামত কি।,2,,,,,,,,,,,,,,,,,,,,,,,,
সাফল্য অর্জন ও দেশের সুনাম বৃদ্ধি করতে নারীরা সব ধরনের প্রতিবন্ধকতার বেড়াজাল অতিক্রম করেছেন।,1,,,,,,,,,,,,,,,,,,,,,,,,
আসলে মাঝে মধ্যে সবচেয়ে কার্যকর আমল হচ্ছে... জাস্ট ভালো হয়ে যান।,0,,,,,,,,,,,,,,,,,,,,,,,,
যুগে যুগে এমন বেশ্যাদের কারনেই নারীরা বেশ্যা খেতাব পেয়েছে,2,,,,,,,,,,,,,,,,,,,,,,,,
"সন্তানদের পরিচর্যা, অতিথিদের আতিথেয়তা সবকিছুর দেখাভাল একজন নারীই করে থাকেন",1,,,,,,,,,,,,,,,,,,,,,,,,
অহংকার কমান আগে! প্রথম লেখাটা দেখেই বুঝা যাচ্ছে আপনার মধ্যে অনেক অহংকার।,0,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েদের নিজের কোন বাড়ি হয় না।,2,,,,,,,,,,,,,,,,,,,,,,,,
পুরুষরা মনে করে নারীরা তারা যেরকম বলবে সেই রকম চলবে। ,1,,,,,,,,,,,,,,,,,,,,,,,,
পুরুষ বিদ্বেষী তবুও একাধিক পুরুষের প্রয়োজন হয় তার ।,2,,,,,,,,,,,,,,,,,,,,,,,,
আমাকে ঘটনাস্থলে পাটানো হোক...  তারপর বলতে পারবো,0,,,,,,,,,,,,,,,,,,,,,,,,
জাহাজের গতি কিন্তু থাকলো ঠিক আগের মতোই।,0,,,,,,,,,,,,,,,,,,,,,,,,
বিয়ের পাত্রী হিসেবে মেয়েকে খাটো বা বেঁটে হওয়া চলবে না,2,,,,,,,,,,,,,,,,,,,,,,,,
কিন্তু তা সত্ত্বেও আমি যথাসম্ভব বিনয়ের সাথে তার কথার প্রত্যুত্তর দিলাম।,0,,,,,,,,,,,,,,,,,,,,,,,,
"বিয়ের পরে কিছু কিছু মেয়ে নির্লজ্জ, হিংসুটে,অহংকারী হয়ে যায়",2,,,,,,,,,,,,,,,,,,,,,,,,
"এই মেয়ের দিকে তাকিয়ে লাভ নাই,,,,,হাজার লোকের খাওয়া সম্পদ এটা",2,,,,,,,,,,,,,,,,,,,,,,,,
"যে মানুষটি আমার চেয়ে বয়সে বড় এবং আমার চেয়ে বেশি আয় করে, সে তো চাইবেই আমি তার কথায় ওঠাবসা করি",0,,,,,,,,,,,,,,,,,,,,,,,,
এইগুলা কেমন কথা। কি অদ্ভুত মানুষজন আর কি অদ্ভুত সব চিন্তা।,0,,,,,,,,,,,,,,,,,,,,,,,,
"শুধু উৎপাদন কাজে শ্রম দেয়া এবং অকাতরে অবদান রাখার পরও আর্থিক কর্মকাণ্ডে তাদের অধিকার প্রতিষ্ঠা না হওয়ার ব্যাপারটি এভাবে চলতে থাকলে প্রকারান্তরে নারীরা তাদের মেধা ও উদ্ভাবনী ক্ষমতা প্রয়োগের ব্যাপারে উদাসীন হয়ে পড়তে পারেন; যা গ্রামীণ নারীদের ভাগ্য পরিবর্তনের ক্ষেত্রে যেমন সুফল বয়ে আনবে না, তেমনিভাবে টেকসই গ্রামীণ অর্থনীতি গড়ার প্রক্রিয়াটি বাধাগ্রস্ত হবে বারবার।",1,,,,,,,,,,,,,,,,,,,,,,,,
"এখন মা-বাবাও চান, তার মেয়ে সেবার পাশাপাশি সম্মান নিয়ে বেঁচে থাকুক।",1,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়েটি সানি লিওনের মতো উনার সেক্স ভিডিও ইন্টারনেটে ছেড়ে দিলে ব্যাপক জনপ্রিয়তা পাবে,",2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েরা সাইকোলজিক্যাল খুব দুর্বল আর সঠিক সিদ্ধান্ত নিতে পারে না।,2,,,,,,,,,,,,,,,,,,,,,,,,
"কায়সার বলল, সাবিহা অর্থ সৌন্দর্যময়ী।",0,,,,,,,,,,,,,,,,,,,,,,,,
দেশে নারীর ওপর যে হারে সহিংসতা বৃদ্ধি পেয়েছে তাতে বিস্মিত হতে হয়,1,,,,,,,,,,,,,,,,,,,,,,,,
একদম নিরুপায় না হলে মেয়েরা বাড়ির বাইরে কাজও করতে পারে না।,2,,,,,,,,,,,,,,,,,,,,,,,,
"বেশি ভাব নিলে যা হয়, মেয়েদের বাইক কেন চালাতে হয়???",2,,,,,,,,,,,,,,,,,,,,,,,,
"থাইল্যান্ডে জন্মের পর থেকে প্রত্যেককে শিখতে হয় কীভাবে রাজতন্ত্রকে ভালবাসতে হবে, শ্রদ্ধা করতে হবে এবং থাই রাজপরিবারের বিরুদ্ধে কিছু বললে তার পরিণতি কী হতে পারে।",0,,,,,,,,,,,,,,,,,,,,,,,,
মায়ের গর্ভে বড় হতে থাকে একটি প্রাণ।,0,,,,,,,,,,,,,,,,,,,,,,,,
"আমাদের দেশে পিরিয়ড নিয়ে আছে নানা কুসংস্কার। যেগুলো কিশোরীদের জীবনকে বিভীষিকাময় করে তোলে।
",1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েদের ভালো কথা বুঝিয়ে বলা মানে....নিজের পায়ে নিজে কুড়াল দেয়া,2,,,,,,,,,,,,,,,,,,,,,,,,
বাংলাদেশে মন্ত্রিসভায় বড় ধরণের রদবদল আনা হয়েছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
"আগে একটি কথা প্রায়ই শোনা যেতো। নারী লেখক যদি ভালো কিছু লিখতেন তাহলে লোকে বলতো, স্বামী লিখে দিয়েছে।",1,,,,,,,,,,,,,,,,,,,,,,,,
বোনের কপালে কঠিন শিক্ষা অপেক্ষা করছে।,2,,,,,,,,,,,,,,,,,,,,,,,,
হারাম সম্পর্ক ক্ষনিকের সুখ দেয় কিন্তু চিরস্থায়ী সুখ শান্তি কেড়ে নেয়!,0,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েটার প্লান টা ভাল্লাগছে,1,,,,,,,,,,,,,,,,,,,,,,,,
কলেরায় আক্রান্ত হয়ে বেশিরভাগ মুরগিই মারা যাচ্ছিলো।,0,,,,,,,,,,,,,,,,,,,,,,,,
বুকের উপর ওড়না না রেখে মানুষ কে বিনা পয়সায় চোখের খোরাক দেওয়াটাও নাকি নারী শক্তির অংশ,2,,,,,,,,,,,,,,,,,,,,,,,,
"আপনি যত বেশি ম্যাচ খেলবেন, ততই ভালো।",0,,,,,,,,,,,,,,,,,,,,,,,,
তবে তার ভেতরের সত্যিটা হয়তো কেউ ভালো করে বুঝতেই পারেনি,0,,,,,,,,,,,,,,,,,,,,,,,,
"আমরা যখন নারী ক্ষমতায়ন নিয়ে আলোচনা করব, যখন সুবিধাবন্সিত মহিলাদের সমুখে দাঁড়িয়ে বিভিন্ন প্রতিবন্ধকতাগুলি নিয়ে আলোচনা করব, যা তাঁদের জন্য সমাজে ক্ষমতায়ন লাভকে বেশি বেশি কঠিন করে তোলে, তখন চাকরির ক্ষেত্রে জাতির প্রভাব পরীক্ষা করার সময় গুরুত্বপূর্ণ হয়ে ওঠে।",1,,,,,,,,,,,,,,,,,,,,,,,,
বাংলাদেশে নারীদের পুরুষদের অধীন হয়ে থাকতে হয়,2,,,,,,,,,,,,,,,,,,,,,,,,
কলেজের ছাত্রী যেই বিয়ে করেছে আমি নিশ্চিত সেই ভাইয়ের জীবন তেজপাতার মতো হয়ে গেছে।,2,,,,,,,,,,,,,,,,,,,,,,,,
বাড়ির আসল নীলনকশাটি অবশ্য কখনো উদ্ধার করা সম্ভব হয়নি।,0,,,,,,,,,,,,,,,,,,,,,,,,
তোমার মতো মেয়ে চলে যাওয়াই ভালো।,2,,,,,,,,,,,,,,,,,,,,,,,,
পুরুষতান্ত্রিক সমাজ ব্যবস্থায় নারীরা শ্রমিক হিসেবে স্বীকৃতিও পাচ্ছে না।,1,,,,,,,,,,,,,,,,,,,,,,,,
গত নভেম্বরে দেশটিতে দুর্নীতি বিরোধী অভিযান চালু হবার পর থেকে গ্রেপ্তার হওয়া প্রভাবশালী বন্দিদের রাখার জন্য রিৎস-কার্লটনসহ বেশ কয়েকটি বিলাসবহুল হোটেল ব্যবহৃত হতো।,0,,,,,,,,,,,,,,,,,,,,,,,,
চমৎকার লিখেছেন আপু।,1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েটির সাথে ফুটবল খেলাইয় কেউ পেরে উঠবে নাহ।,1,,,,,,,,,,,,,,,,,,,,,,,,
বিশ্বের অন্যান্য রাষ্ট্রগুলোর কোম্পানির সাথে প্রায়ই এদের যুদ্ধ লাগতো।,0,,,,,,,,,,,,,,,,,,,,,,,,
ওনি কি চাই তা জাস্টিফাই করুন এবং আপনার ভালোবাসায় আসক্ত করুন!,0,,,,,,,,,,,,,,,,,,,,,,,,
" প্রত্যন্ত অঞ্চলের নারীদের ওপর নির্মম নির্যাতনের চিত্রপট বদলাতে হলে শুধু আইন তৈরি বা প্রয়োগ নয়, পিতৃতান্ত্রিক কর্তৃত্ববাদী সমাজের পুরুষদের নারীদের প্রতি নেতিবাচক মনোভাব বদলাতে হবে। ",1,,,,,,,,,,,,,,,,,,,,,,,,
" সমাজ, অর্থনীতি কিংবা রাজনীতি কোনো ক্ষেত্রেই নারী প্রধান ভূমিকায় নেই।",2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েদের এতো পড়ার দরকার কি,2,,,,,,,,,,,,,,,,,,,,,,,,
"মেয়েদের মতো ছেলেরাও যদি একটু চালাক হতো, নিজের সম পর্যায় বিষয়টা বিষয়টা যূি মেয়েদের মতো গুরুত্ব দিত",1,,,,,,,,,,,,,,,,,,,,,,,,
ফলে কোনো অন্যায় না করে আমাদের দেশে হাজার হাজার নারী কন্যাসন্তান জন্ম দেওয়ার অভিযোগে মানসিক ও শারীরিক নির্যাতন ভোগ করেন।,1,,,,,,,,,,,,,,,,,,,,,,,,
"সংসার,  বাচ্চা সব মিলায় মেয়েরা সেই অফিসের লস প্রজেক্ট",2,,,,,,,,,,,,,,,,,,,,,,,,
তোকে রান্না করত দেখে আমারো রান্না করতে ইচ্ছা করে ভীষণরে বোন।,1,,,,,,,,,,,,,,,,,,,,,,,,
নীরবে উত্থান হচ্ছিল নাভাসের।,0,,,,,,,,,,,,,,,,,,,,,,,,
বেশি সুখে আছেন তো তাই সুখ আপনার সহ্য হচ্ছে না। ইচ্ছে করে আগুনে ঝাঁপ দিতে চাইছেন,0,,,,,,,,,,,,,,,,,,,,,,,,
"ক্রমবর্ধমান যৌন হয়রানির ঘটনাগুলো ঘটার কারণ হলো যৌন হয়রানির সার্বিক বিষয়ে কোনো আইন না থাকা, অথবা যা আছে তার যথাযথ প্রয়োগ নেই",1,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েদের জন্য কর্পোরেট চাকরি নাহ।,2,,,,,,,,,,,,,,,,,,,,,,,,
যে মেয়ে বিয়ের আগেই ৩-৪ জনের সাথে লাগাতে পারে বিয়ের পরে স্বামীর অনুপস্থিতিতে আরেক ছেলেকে দিয়ে যে লাগাবে না তার কি গ্রান্টি আছে।,2,,,,,,,,,,,,,,,,,,,,,,,,
 প্রতিটি দিনই সব মায়ের প্রতি সন্তানের ভালোবাসা থাকা উচিত।,1,,,,,,,,,,,,,,,,,,,,,,,,
এ নাটক তিনি দারিয়ুসের বিরুদ্ধে সালামির যুদ্ধ নিয়ে রচনা করেন।,0,,,,,,,,,,,,,,,,,,,,,,,,
আপনার যে কাপড় আপনাকেও তো ধর্ষণ করবে।,2,,,,,,,,,,,,,,,,,,,,,,,,
শাসন করা পুরুষের কাজ।মহিলার কাজ সন্তানদের সুশিক্ষায় শিক্ষিত করে জাতির কল্যাণে নিয়োজিত করা।,2,,,,,,,,,,,,,,,,,,,,,,,,
এই বিবাদের ফলে এখন এমানকে মুম্বাইয়ের হাসপাতালটি ছেড়ে যেতে হচ্ছে।,0,,,,,,,,,,,,,,,,,,,,,,,,
বিয়ে অবশ্যই পাত্র পাত্রীর পছন্দের হতে হবে,0,,,,,,,,,,,,,,,,,,,,,,,,
হোয়াটস্যাপ আর মেসেন্জারে হাত দিলে স্ত্রীর গোপনাঙ্গে আর কে কে হাত দিয়েছে সেটা ফাঁস হয়ে যেতে পারে। তাই সেটা বেশি প্রাইভেট রাখা দরকার,2,,,,,,,,,,,,,,,,,,,,,,,,
"কিছু মানুষের সুখে থাকলে ভূতে কিলায়,তার ভিতর আপনি একজন",0,,,,,,,,,,,,,,,,,,,,,,,,
আপু আ*কাম কইরা দিশা না পাইয়া এখন আইছো কি করবো??,2,,,,,,,,,,,,,,,,,,,,,,,,
মানুষ যার ভালোবাসা পায়না তার পিছনে দৌড়ায় আর তারে যে পছন্দ করে তারে পাত্তা দেয় না,0,,,,,,,,,,,,,,,,,,,,,,,,
এখনও সর্বত্র শুধু নারী পুলিশের প্রশংসা।,1,,,,,,,,,,,,,,,,,,,,,,,,
সেদিন একটা কাজে যেতে বাসে উঠেছিলাম।,0,,,,,,,,,,,,,,,,,,,,,,,,
সোশাল মিডিয়া সাইটগুলোতে তার পাঠকদের জন্য নানা ধরনের রেকমেনডেশন পাঠানোর জন্য যেসব প্রোগ্রাম দেয়া থাকে তা শিশুদের ঝুঁকি আরও বাড়িয়ে দেয়।,0,,,,,,,,,,,,,,,,,,,,,,,,
"কিন্তু এই এসএসসি পরিক্ষার্থী, সেভেন এইটে পড়া মেয়েরা প্রেম করে ভিডিও কলে জামা কাপড় খোলার কি দরকার,, দোষ ও এসব নষ্টদেরও আছে।",2,,,,,,,,,,,,,,,,,,,,,,,,
নিজেকে প্রতিপক্ষের জায়গায় রেখে বিবেচনা করুন তার জায়গায় আপনি থাকলে কি করতেন কষ্ট পেতেন না খুশি,0,,,,,,,,,,,,,,,,,,,,,,,,
মহিলা মাদ্রাসাগুলোকে অনেক সময়ই হুজুরদের জন্য পাত্রী খোজ্র জায়গা হিসেবে ব্যবহার করা হয়,2,,,,,,,,,,,,,,,,,,,,,,,,
মেয়েটি কাবাডি খেলার পাশাপাশি পড়াশুনাও দারুণ ভাবে চালিয়ে যাচ্ছে।,1,,,,,,,,,,,,,,,,,,,,,,,,
স্বাধীনতার পর বিভিন্ন কমিশন ও কমিটি নারী শিক্ষার বিস্তারের ক্ষেত্রে গঠিত হলেও নারী শিক্ষার অগ্রগতি সন্তোষজনক হয়নি।,1,,,,,,,,,,,,,,,,,,,,,,,,
কুটির শিল্পে নারীর সম্পৃক্ততা বেড়েছে বহুগুণে।,1,,,,,,,,,,,,,,,,,,,,,,,,
স্লীভলেস ব্লাউজ এবং পিঠ খুলে রাখা পোশাক পরিধান করে বাঙালীদের কোন সভ্যতাকে রিপ্রেজেন্ট করেছেন আদৌ বোধগম্য হচ্ছে না। বাঙালী নারীরা বরং আপনাকে দেখে লজ্জায় মুখ লুকাচ্ছে। যত্তসব নোংরামির ছড়াছড়ি।,2,,,,,,,,,,,,,,,,,,,,,,,,
"আপনি যত বলেন মানিয়ে নিতেছেন,অথচ সত্যি এটা আপনি এখনো মানিয়ে নিতে পারেন নাই",0,,,,,,,,,,,,,,,,,,,,,,,,
নারী ক্ষমতায়নের ক্ষেত্রে শুধু সরকারি প্রচেষ্টা নয় পাশাপাশি সমাজের মানুষকে কুসংস্কার মুক্ত করে এগিয়ে আসতে হবে। তবে নারীদের অগ্রগতি সম্ভব।,1,,,,,,,,,,,,,,,,,,,,,,,,
